Carimbo de data/hora,Qual food truck voce avaliou?,Nota geral,Qualidade da comida,Atendimento,Voltaria?,Comentario
04/05/2026 11:31:00,Urban Food Trailer,2,4,3,Sim,Preço justo para a qualidade.
08/02/2026 16:19:00,Pastelaria Paulista,2,3,1,Sim,Melhor da praça na minha opinião.
05/03/2026 11:42:00,Cervejaria Camburi,3,1,4,Sim,Filas longas no fim de semana.
15/05/2026 12:02:00,Rojo,3,5,1,Talvez,Preço justo para a qualidade.
11/05/2026 11:01:00,TaboonKebaberia,4,4,1,Sim,Preço justo para a qualidade.
19/02/2026 11:02:00,Sanduíches Tati Vero,3,1,3,Não,"Voltei várias vezes, sempre bom."
01/02/2026 14:16:00,TaboonKebaberia,4,1,3,Sim,Preço justo para a qualidade.
15/03/2026 15:00:00,Yaki Food Vix,1,1,1,Não,Comida ótima e atendimento rápido.
27/06/2026 15:22:00,Sanduíches Tati Vero,1,2,1,Sim,Preço justo para a qualidade.
12/04/2026 13:54:00,A Melhor Opção,4,1,5,Talvez,"Não gostei muito, esperava mais."
05/05/2026 11:27:00,Bendito Açaí,4,1,1,Sim,Melhor da praça na minha opinião.
28/04/2026 19:40:00,Bicho Papão,2,3,5,Não,Comida ótima e atendimento rápido.
27/03/2026 10:13:00,Tapiocaria Maceió,1,2,3,Sim,Achei caro pelo tamanho da porção.
04/06/2026 11:19:00,Bendito Açaí,4,5,1,Sim,Bebida gelada e atendimento ágil.
07/06/2026 21:50:00,Rojo,3,4,4,Sim,"Tempero perfeito, recomendo."
01/02/2026 12:56:00,Espetinhos da Lu,4,1,5,Sim,"Tempero perfeito, recomendo."
16/04/2026 18:07:00,Sanduíches Tati Vero,2,5,3,Sim,
16/03/2026 21:48:00,Franguinho Mania,1,1,1,Talvez,Faltou opção sem glúten.
17/03/2026 14:07:00,Superfrango,5,5,1,Sim,"Local meio sujo, mas a comida é boa."
27/04/2026 19:44:00,Rojo,2,3,5,Sim,Filas longas no fim de semana.
06/04/2026 13:13:00,Yaki Food Vix,4,1,3,Sim,Filas longas no fim de semana.
27/05/2026 21:27:00,Hotdog Arita,5,1,3,Sim,"Voltei várias vezes, sempre bom."
20/04/2026 11:48:00,Bendito Açaí,3,4,2,Talvez,Preço justo para a qualidade.
06/04/2026 21:03:00,TaboonKebaberia,2,2,1,Sim,"Tempero perfeito, recomendo."
14/06/2026 14:27:00,Pérola da Bahia Acarajé,4,5,2,Sim,"Tempero perfeito, recomendo."
27/02/2026 17:36:00,Pastelaria Paulista,5,1,3,Talvez,"Tempero perfeito, recomendo."
25/06/2026 20:00:00,Rojo,3,1,5,Sim,"Voltei várias vezes, sempre bom."
28/04/2026 13:56:00,Pérola da Bahia Acarajé,1,2,4,Sim,"Voltei várias vezes, sempre bom."
11/04/2026 14:13:00,Sanduíches Tati Vero,4,4,2,Não,Achei caro pelo tamanho da porção.
24/01/2026 13:58:00,Bendito Açaí,1,3,2,Sim,"Voltarei com certeza, lugar agradável."
04/04/2026 21:10:00,Cantinho do Kibe,1,4,4,Sim,"Não gostei muito, esperava mais."
12/04/2026 15:11:00,Cervejaria Camburi,3,3,4,Sim,"Voltei várias vezes, sempre bom."
20/06/2026 12:18:00,Sem ID,5,4,2,Talvez,Preço justo para a qualidade.
28/03/2026 16:51:00,Rebocando,3,3,1,Talvez,Atendente super simpático.
27/01/2026 15:18:00,Servemais Espetos,4,3,1,Sim,Preço justo para a qualidade.
26/03/2026 21:30:00,Mexicanto,5,5,4,Não,Bebida gelada e atendimento ágil.
10/04/2026 10:06:00,Hotdog Arita,4,5,3,Sim,Atendente super simpático.
11/01/2026 11:00:00,Cantinho do Kibe,1,2,5,Sim,Bebida gelada e atendimento ágil.
17/03/2026 11:47:00,Rojo,3,1,1,Não,Achei caro pelo tamanho da porção.
23/04/2026 16:43:00,Hotdog Arita,4,5,2,Sim,Bebida gelada e atendimento ágil.
24/05/2026 21:48:00,Cantinho do Kibe,1,4,5,Sim,"Voltarei com certeza, lugar agradável."
28/05/2026 19:48:00,Doceria,5,1,2,Sim,"Não gostei muito, esperava mais."
26/04/2026 21:03:00,Yaki Food Vix,2,5,2,Sim,
25/01/2026 16:58:00,Rebocando,3,4,2,Sim,Demorou um pouco mas valeu a pena.
04/05/2026 11:27:00,Pastelaria Paulista,3,5,4,Sim,
18/03/2026 16:02:00,Rojo,5,5,5,Talvez,"Não gostei muito, esperava mais."
12/02/2026 19:52:00,TaboonKebaberia,5,3,5,Sim,Filas longas no fim de semana.
25/02/2026 11:37:00,Sanduíches Tati Vero,3,4,3,Não,"Tempero perfeito, recomendo."
04/03/2026 11:06:00,Servemais Espetos,3,2,3,Não,"Voltarei com certeza, lugar agradável."
22/04/2026 14:48:00,Espetinhos da Lu,2,2,2,Sim,"Local meio sujo, mas a comida é boa."
04/01/2026 21:23:00,Pérola da Bahia Acarajé,4,3,5,Sim,Bebida gelada e atendimento ágil.
14/01/2026 12:40:00,Superfrango,1,2,4,Sim,"Local meio sujo, mas a comida é boa."
28/03/2026 11:37:00,Tapiocaria Maceió,3,3,2,Não,"Tempero perfeito, recomendo."
14/02/2026 10:07:00,Urban Food Trailer,2,2,4,Sim,Filas longas no fim de semana.
13/01/2026 10:51:00,Rebocando,1,3,4,Sim,Bebida gelada e atendimento ágil.
